,course_name,district,city_name1,length,height,hiking_road,uphill_road,downhill_road,level,level_1
658,농림축산검역본부 서울지역본부~등촌초등학교_코스,서울특별시,강서구,1152,104,0.45,0.2,0.5,24,easy
450,농림축산검역본부 서울지역본부~백석 근린공원_코스,서울특별시,강서구,752,108,0.35,0.1,0.3,23,easy
446,농림축산검역본부 서울지역본부~봉제산 근린공원_코스,서울특별시,강서구,785,108,0.39,0.1,0.3,23,easy
820,능원사~도봉산_코스,서울특별시,도봉구,1983,178,1.18,0.4,0.4,25,easy
773,단군 어린이공원~돌산(국기대)_코스,서울특별시,금천구,4648,297,1.85,1.7,1.1,25,easy
798,단군 어린이공원~돌산(국기대)_코스,서울특별시,금천구,4648,297,1.85,1.7,1.1,25,easy
70,단군성전~해맞이동산_코스,서울특별시,종로구,1407,131,0.6,0.5,0.3,20,easy
145,대모산~LH강남아이파크_코스,서울특별시,강남구,2492,253,1.2,0.1,1.19,21,easy
139,대모산~디에스빌딩_코스,서울특별시,강남구,2543,253,1.5,0.1,0.9,21,easy
296,대모산~은혜와진리교회_코스,서울특별시,강남구,2581,253,1.4,0.1,1.08,22,easy
294,대모산~탄허기념박물관_코스,서울특별시,강남구,2482,253,1.28,0.1,1.1,22,easy
817,대일고등학교~봉제산공원_코스,서울특별시,강서구,1005,113,0.4,0.5,0.1,25,easy
322,대한주택~홍은동산교회_코스,서울특별시,은평구,2857,180,0.6,1.1,1.1,23,easy
324,대한주택~홍은동산교회_코스,서울특별시,은평구,2867,180,0.7,0.9,1.27,23,easy
113,덕산중학교_코스,서울특별시,은평구,3103,149,2,0.6,0.5,21,easy
181,덕산중학교_코스,서울특별시,은평구,3239,142,1.74,0.9,0.6,22,easy
194,덕산중학교_코스,서울특별시,은평구,3239,142,1.64,0.7,0.9,22,easy
234,덕산중학교_코스,서울특별시,은평구,3228,149,1.83,0.6,0.8,22,easy
374,덕산중학교_코스,서울특별시,은평구,3135,142,1.64,0.6,0.9,23,easy
382,덕산중학교_코스,서울특별시,은평구,2536,142,1.44,0.6,0.5,23,easy
413,덕산중학교_코스,서울특별시,은평구,3135,142,1.64,0.9,0.6,23,easy
417,덕산중학교_코스,서울특별시,은평구,2536,142,1.34,0.6,0.6,23,easy
258,덕산중학교~녹원에버빌_코스,서울특별시,은평구,3090,149,1.7,0.6,0.79,22,easy
587,덕산중학교~봉산_코스,서울특별시,은평구,1395,181,0.6,0.7,0.1,24,easy
221,덕산중학교~수색로18나길_코스,서울특별시,은평구,3018,149,1.62,0.6,0.8,22,easy
195,덕산중학교~수색로22가길 5_코스,서울특별시,은평구,3464,149,1.86,0.6,1,22,easy
241,덕산중학교~수색로22길 23-6_코스,서울특별시,은평구,3266,149,1.87,0.6,0.8,22,easy
761,덕산중학교~숭실100주년기념관_코스,서울특별시,은평구,1611,132,0.9,0.4,0.3,25,easy
597,덕산중학교~숭실고등학교_코스,서울특별시,은평구,1656,132,0.9,0.46,0.3,24,easy
88,덕산중학교~신동아빌라_코스,서울특별시,은평구,3125,149,1.73,0.6,0.8,21,easy
203,덕산중학교~신동아빌라_코스,서울특별시,은평구,3151,149,1.85,0.6,0.7,22,easy
244,덕산중학교~신동아빌라_코스,서울특별시,은평구,2956,149,1.8,0.6,0.56,22,easy
741,덕산중학교~신사동 237-484_코스,서울특별시,은평구,1740,132,0.9,0.4,0.44,25,easy
746,덕산중학교~신사동 237-484_코스,서울특별시,은평구,1744,132,0.9,0.4,0.44,25,easy
760,덕산중학교~신사동 237-484_코스,서울특별시,은평구,1746,132,0.95,0.4,0.4,25,easy
363,발바닥바위,서울특별시,은평구,3030,142,1.53,0.7,0.8,23,easy
354,덕산중학교~은평종합사회복지관_코스,서울특별시,은평구,3303,142,1.8,0.6,0.9,23,easy
748,덕산중학교~은평터널로9길 22_코스,서울특별시,은평구,1708,132,0.9,0.4,0.4,25,easy
233,덕산중학교~증산로13가길 35_코스,서울특별시,은평구,2911,142,1.61,0.6,0.7,22,easy
346,덕산중학교~증산로1길 26_코스,서울특별시,은평구,3603,142,2,0.6,1,23,easy
261,덕산중학교~증산체육공원_코스,서울특별시,은평구,3194,142,1.7,0.6,0.89,22,easy
384,덕산중학교~증산체육공원_코스,서울특별시,은평구,3116,142,1.6,0.6,0.9,23,easy
519,덕산중학교~환희정사_코스,서울특별시,은평구,1696,132,0.9,0.4,0.4,24,easy
268,독산배드민턴체육관~관천교회_코스,서울특별시,금천구,1422,107,1.02,0.1,0.3,22,easy
610,독산배드민턴체육관~금천구민문화체육센터_코스,서울특별시,금천구,752,107,0.45,0.1,0.2,24,easy
800,독산배드민턴체육관~난향삼거리_코스,서울특별시,금천구,2666,204,1.47,0.7,0.5,25,easy
436,독산배드민턴체육관~미성빌라_코스,서울특별시,금천구,1316,107,0.6,0.1,0.6,23,easy
780,독산배드민턴체육관~서울대입구매표소출발점_코스,서울특별시,금천구,6426,297,2.53,1.7,2.2,25,easy
611,돌산(국기대)~관천교회_코스,서울특별시,관악구,6492,297,3.49,1,2,24,easy
616,돌산(국기대)~관천교회_코스,서울특별시,관악구,6492,297,3.49,1,2,24,easy
603,돌산(국기대)~금천구민문화체육센터_코스,서울특별시,관악구,5823,297,3.1,0.9,1.8,24,easy
617,돌산(국기대)~금천구민문화체육센터_코스,서울특별시,관악구,5823,297,3.1,0.9,1.8,24,easy
607,돌산(국기대)~난향삼거리_코스,서울특별시,관악구,3879,297,2.18,0.8,0.9,24,easy
618,돌산(국기대)~난향삼거리_코스,서울특별시,관악구,3879,297,2.18,0.8,0.9,24,easy
776,돌산(국기대)~단군 어린이공원_코스,서울특별시,관악구,4648,297,2.25,0.8,1.6,25,easy
792,돌산(국기대)~단군 어린이공원_코스,서울특별시,관악구,4648,297,2.25,0.8,1.6,25,easy
604,돌산(국기대)~미성빌라_코스,서울특별시,관악구,6386,297,3.4,1,1.99,24,easy
626,돌산(국기대)~미성빌라_코스,서울특별시,관악구,6386,297,3.4,1,1.99,24,easy
786,돌산(국기대)~삼성산국기대_코스,서울특별시,관악구,4476,441,1.78,2.1,0.6,25,easy
778,돌산(국기대)~안양해솔학교앞_코스,서울특별시,관악구,5752,396,2.45,1.1,2.2,25,easy
788,돌산(국기대)~안양해솔학교앞_코스,서울특별시,관악구,5752,396,2.45,1.1,2.2,25,easy
774,돌산(국기대)~한우리 어린이집_코스,서울특별시,관악구,5485,297,2.79,0.8,1.9,25,easy
801,돌산(국기대)~한우리 어린이집_코스,서울특별시,관악구,5485,297,2.79,0.8,1.9,25,easy
615,돌산~관천교회_코스,서울특별시,관악구,5951,297,2.65,1.4,1.9,24,easy
789,돌산~금천구민문화체육센터_코스,서울특별시,관악구,5281,297,2.08,1.4,1.8,25,easy
783,돌산~난향삼거리_코스,서울특별시,관악구,3337,297,1.14,1.1,1.1,25,easy
627,돌산~미성빌라_코스,서울특별시,관악구,5845,297,2.45,1.4,2,24,easy
770,돌산~삼성산국기대_코스,서울특별시,관악구,3692,441,1.39,1.8,0.5,25,easy
451,동서초등학교~봉제산 근린공원_코스,서울특별시,강서구,1522,105,0.62,0.5,0.4,23,easy
270,동의초등학교~아차산_코스,서울특별시,광진구,5424,300,3.12,1.8,0.5,22,easy
271,동의초등학교~아차산_코스,서울특별시,광진구,5360,300,3.16,1.6,0.6,22,easy
273,동의초등학교~아차산_코스,서울특별시,광진구,5287,300,3.09,1.6,0.6,22,easy
280,동의초등학교~아차산_코스,서울특별시,광진구,5377,300,3.08,1.5,0.8,22,easy
804,동의초등학교~아차산_코스,서울특별시,광진구,1893,274,0.79,1,0.1,25,easy
453,동일하이츠 펜션~도봉산계곡_코스,서울특별시,도봉구,2817,271,1.42,1.3,0.1,23,easy
819,두원빌라~도봉산_코스,서울특별시,도봉구,5288,178,2.69,1.4,1.2,25,easy
822,둘레길탐방안내소~북한산국립공원 수유분소_코스,서울특별시,강북구,311,125,0.01,0.2,0.1,25,easy
829,둘레길탐방안내소~북한산국립공원 수유분소_코스,서울특별시,강북구,311,125,0.01,0.2,0.1,25,easy
641,등촌초등학교~농림축산검역본부 서울지역본부_코스,서울특별시,강서구,1152,104,0.65,0.4,0.1,24,easy
640,등촌초등학교~봉제산 근린공원_코스,서울특별시,강서구,1398,105,0.7,0.3,0.4,24,easy
127,등촌초등학교~봉제산공원_코스,서울특별시,강서구,1211,108,0.81,0.3,0.1,21,easy
449,등촌초등학교~봉제산근린공원_코스,서울특별시,강서구,2091,108,1.29,0.3,0.5,23,easy
279,등촌파크빌라~봉제산공원_코스,서울특별시,강서구,906,108,0.4,0.4,0.1,22,easy
649,등촌파크빌라~봉제산근린공원_코스,서울특별시,강서구,1785,108,0.89,0.4,0.5,24,easy
683,디에스빌딩~구룡산제1호 공영주차장_코스,서울특별시,강남구,3944,262,1.94,0.7,1.3,24,easy
853,디에스빌딩~구룡산제1호 공영주차장_코스,서울특별시,강남구,4045,262,2.15,0.6,1.3,25,easy
142,디에스빌딩~대모산_코스,서울특별시,강남구,2543,253,1.84,0.6,0.1,21,easy
643,럭키주택~봉제산 근린공원_코스,서울특별시,강서구,1362,105,0.66,0.4,0.3,24,easy
38,럭키주택~봉제산공원_코스,서울특별시,강서구,1175,108,0.7,0.4,0.08,20,easy
10,명지고등학교~백련산_코스,서울특별시,서대문,2617,214,1.72,0.6,0.3,20,easy
485,명지고등학교~산골마을주거환경개선지구_코스,서울특별시,서대문,2221,180,0.82,0.7,0.7,24,easy
81,명지고등학교~홍은여자중학교산_코스,서울특별시,서대문,2699,180,1.4,0.7,0.6,21,easy
265,미림하이츠빌라~돌산(국기대)_코스,서울특별시,관악구,1289,208,0.49,0.7,0.1,22,easy
266,미림하이츠빌라~돌산(국기대)_코스,서울특별시,관악구,1289,208,0.49,0.7,0.1,22,easy
432,미성빌라~독산배드민턴체육관_코스,서울특별시,금천구,1316,107,0.7,0.5,0.1,23,easy
612,미성빌라~돌산(국기대)_코스,서울특별시,금천구,6386,297,3.09,2.1,1.2,24,easy
622,미성빌라~돌산(국기대)_코스,서울특별시,금천구,6386,297,3.09,2.1,1.2,24,easy
620,미성빌라~돌산_코스,서울특별시,금천구,5845,297,2.6,2.05,1.2,24,easy
769,미성빌라~삼성산_코스,서울특별시,금천구,6350,452,2.5,3.15,0.7,25,easy
782,미성빌라~삼성산국기대_코스,서울특별시,금천구,6826,441,2.93,3.1,0.8,25,easy
775,미성빌라~지산공인중개사사무소_코스,서울특별시,금천구,9956,407,4.1,3,2.86,25,easy
151,미타사~개화산입구_코스,서울특별시,강서구,1007,92,0.51,0.2,0.3,21,easy
772,민주동산(국기대)~관천교회_코스,서울특별시,관악구,4246,373,2.35,0.2,1.7,25,easy
796,민주동산(국기대)~관천교회_코스,서울특별시,관악구,4239,373,2.14,0.2,1.9,25,easy
799,민주동산(국기대)~관천교회_코스,서울특별시,관악구,4246,373,2.35,0.2,1.7,25,easy
130,발바닥바위~북한산성계곡_코스,서울특별시,은평구,5148,349,3.45,0.3,1.4,21,easy
667,발바닥바위~북한산성계곡_코스,서울특별시,은평구,5746,345,3.55,0.9,1.3,24,easy
46,발바닥바위~북한산성분소_코스,서울특별시,은평구,9728,349,6.5,1.43,1.7,20,easy
129,발바닥바위~북한산성분소_코스,서울특별시,은평구,4937,349,3.34,0.2,1.4,21,easy
286,발바닥바위~북한산성분소_코스,서울특별시,은평구,10328,345,6.28,2.19,1.75,22,easy
669,발바닥바위~북한산성분소_코스,서울특별시,은평구,5537,345,3.44,0.8,1.3,24,easy
133,발바닥바위~북한산성탐방지원센터_코스,서울특별시,은평구,4768,349,3.17,0.2,1.4,21,easy
675,발바닥바위~북한산성탐방지원센터_코스,서울특별시,은평구,5367,345,3.27,0.8,1.3,24,easy
306,발산파출소~전원연립_코스,서울특별시,강서구,952,64,0.75,0.1,0.1,23,easy
686,발산파출소~전원연립_코스,서울특별시,강서구,994,64,0.49,0.4,0.1,24,easy
693,방화중학교~개화산입구_코스,서울특별시,강서구,515,83,0.22,0.2,0.1,24,easy
327,배봉산 근린공원 1 개방화장실~휘경중학교_코스,서울특별시,동대문,1283,92,0.6,0.3,0.38,23,easy
15,배봉산근린공원~전농3동경로당_코스,서울특별시,동대문,895,87,0.3,0.1,0.5,20,easy
7,백련산~명지고등학교_코스,서울특별시,서대문,2617,214,1.6,0.3,0.7,20,easy
644,백석 근린공원~봉제산근린공원_코스,서울특별시,강서구,1597,108,0.8,0.3,0.5,24,easy
650,백석 근린공원~봉제산근린공원_코스,서울특별시,강서구,1607,108,0.8,0.4,0.4,24,easy
655,백석근린공원~봉제산근린공원_코스,서울특별시,강서구,1580,108,0.78,0.4,0.4,24,easy
818,봉도청소년수련원~도봉산_코스,서울특별시,강북구,5624,221,2.42,1.7,1.4,25,easy
26,봉산_코스,서울특별시,은평구,3809,181,2.21,1.2,0.4,20,easy
84,봉산_코스,서울특별시,은평구,3695,181,2.2,1.2,0.3,21,easy
86,봉산_코스,서울특별시,은평구,2514,149,1.5,0.5,0.5,21,easy
95,봉산_코스,서울특별시,은평구,3302,181,2,1,0.3,21,easy
97,봉산_코스,서울특별시,은평구,3241,149,1.24,0.9,1.1,21,easy
101,봉산_코스,서울특별시,은평구,2455,142,1.26,0.6,0.6,21,easy
111,봉산_코스,서울특별시,은평구,3994,181,2.49,1.2,0.3,21,easy
177,봉산_코스,서울특별시,은평구,2639,149,1.34,0.7,0.6,22,easy
183,봉산_코스,서울특별시,은평구,2340,142,1.04,0.7,0.6,22,easy
220,봉산_코스,서울특별시,은평구,3366,149,1.77,0.7,0.9,22,easy
235,봉산_코스,서울특별시,은평구,2639,149,1.24,0.5,0.9,22,easy
262,봉산_코스,서울특별시,은평구,1986,138,0.89,0.6,0.5,22,easy
353,봉산_코스,서울특별시,은평구,2185,181,1.29,0.8,0.1,23,easy
356,봉산_코스,서울특별시,은평구,2152,138,0.85,0.6,0.7,23,easy
396,봉산_코스,서울특별시,은평구,1942,142,0.84,0.5,0.6,23,easy
406,봉산_코스,서울특별시,은평구,1872,138,0.87,0.6,0.4,23,easy
536,봉산_코스,서울특별시,은평구,1501,138,0.8,0.3,0.4,24,easy
556,봉산_코스,서울특별시,은평구,2037,138,0.74,0.6,0.7,24,easy
743,봉산_코스,서울특별시,은평구,1666,138,0.77,0.3,0.6,25,easy
187,봉산~가온누리빌_코스,서울특별시,은평구,4554,182,2.35,1.3,0.9,22,easy
329,봉산~가온누리빌_코스,서울특별시,은평구,4779,182,2.28,1.5,1,23,easy
343,봉산~가온누리빌_코스,서울특별시,은평구,4445,182,2.35,1.3,0.8,23,easy
527,봉산~가온누리빌_코스,서울특별시,은평구,4046,182,2.15,1.1,0.8,24,easy
364,봉산~남경하이츠빌라_코스,서울특별시,은평구,4549,182,2.45,1.2,0.9,23,easy
538,봉산~남경하이츠빌라_코스,서울특별시,은평구,4440,182,2.34,1.2,0.9,24,easy
551,봉산~남경하이츠빌라_코스,서울특별시,은평구,4758,182,2.36,1.5,0.9,24,easy
755,봉산~남경하이츠빌라_코스,서울특별시,은평구,4041,182,2.14,1,0.9,25,easy
358,봉산~서울구산초등학교_코스,서울특별시,은평구,5427,184,2.83,1.4,1.2,23,easy
424,봉산~서울구산초등학교_코스,서울특별시,은평구,5466,184,2.87,1.4,1.2,23,easy
501,봉산~서울구산초등학교_코스,서울특별시,은평구,4696,182,2.3,1.2,1.2,24,easy
532,봉산~서울구산초등학교_코스,서울특별시,은평구,4572,182,2.47,1.2,0.9,24,easy
535,봉산~서울구산초등학교_코스,서울특별시,은평구,4533,182,2.43,1.2,0.9,24,easy
586,봉산~서울구산초등학교_코스,서울특별시,은평구,4735,182,2.3,1.2,1.2,24,easy
357,봉산~은평중학교_코스,서울특별시,은평구,5017,184,2.5,1.4,1.1,23,easy
381,봉산~은평중학교_코스,서울특별시,은평구,5179,184,2.8,1.18,1.2,23,easy
546,봉산~은평중학교_코스,서울특별시,은평구,4814,182,2.2,1.6,1,24,easy
175,봉산~초원빌라_코스,서울특별시,은평구,4464,184,2.36,1.3,0.8,22,easy
198,봉산~초원빌라_코스,서울특별시,은평구,4720,184,2.6,1.3,0.8,22,easy
254,봉산~초원빌라_코스,서울특별시,은평구,4575,184,2.48,1.2,0.9,22,easy
409,봉산~초원빌라_코스,서울특별시,은평구,4065,184,2.37,1,0.7,23,easy
756,봉산~초원빌라_코스,서울특별시,은평구,2947,184,1.45,0.9,0.6,25,easy
308,봉원사길 버스정류장~이화여자대학교산학협력관_코스,서울특별시,서대문,2104,191,0.8,0.6,0.7,23,easy
452,봉제산 근린공원~동서초등학교_코스,서울특별시,강서구,1522,105,0.62,0.4,0.5,23,easy
657,봉제산 근린공원~등촌초등학교_코스,서울특별시,강서구,1398,105,0.6,0.4,0.4,24,easy
125,봉제산 근린공원~봉제산공원_코스,서울특별시,강서구,760,108,0.3,0.4,0.06,21,easy
651,봉제산 근린공원~봉제산근린공원_코스,서울특별시,강서구,1639,108,0.74,0.4,0.5,24,easy
