코스고유번호,코스명,코스설명,코스시도명,코스읍면동명,코스지역명,코스웹사이트주소,코스총길이,코스평균경사도,코스최고해발고도,코스최저해발고도,코스오름길이,코스평지길이,코스내림길이
398139,마두봉-향로봉_20190101_045300,2019년 1월 1일 내연산 향로봉,경상북도,포항시 북구 죽장면,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/4074,7214,12.25,968,309,2.6,1.9,2.71
398137,대구광역시남구_20190101_062707,대구광역시남구_20190101_062707,대구광역시,남구 봉덕2동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/1049,2391,9.62,582,228,1.69,0.7,0
398136,봉황산-금오산-금오산금오봉_20190101_034855,봉황산-금오산-금오산금오봉_20190101_034855,전라남도,여수시 돌산읍,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/2053,9750,7.15,470,40,2.25,5.6,1.9
398134,미륵산_20190101_063927,미륵산_20190101_063927,전라북도,익산시 금마면,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/3060,6078,8.69,484,67,0.4,4,1.1
398133,충북단양군_20190101_052019,충북단양군_20190101_052019,충청북도,단양군 가곡면,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/5085,5206,0,1453,452,0,0,0
398132,충청북도영동군_20190101_100829,충청북도영동군_20190101_100829,충청북도,영동군 양강면,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/6102,514,5.67,181,141,0.1,0.3,0.2
398131,상주산_20190101_103720,힐링~~,인천광역시,강화군 삼산면,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/6101,3187,8.6,276,18,1.3,0.7,1.19
398123,인천광역시남동구_20190101_064936,인천광역시남동구_20190101_064936,인천광역시,남동구 간석3동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/1047,1440,10.63,204,59,0.4,0.74,0.3
398121,서울특별시종로구_20181230_124518,서울특별시종로구_20181230_124518,서울특별시,종로구 평창동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/5083,4945,9.28,451,9,1.3,1.85,1.8
398120,경기도남양주시_20190101_062001,경기도남양주시_20190101_062001,경기도,남양주시 화도읍,경기도 남양주시,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/3059,7445,12.24,807,112,2.8,1.7,2.94
398116,타종_20181231_152507,타종_20181231_152507,울산광역시,남구 달동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/17,8646,0.86,75,14,0.2,8.25,0.2
398115,장군대산_20190101_065509,장군대산_20190101_065509,경상남도,진주시 금산면,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/1046,4187,6.59,507,258,1.3,1.19,1.7
398114,삼각봉-한라산-백록담동능__관음사콧_20190101_010929,삼각봉-한라산-백록담동능__관음사콧_20190101_010929,제주특별자치도,제주시 아라동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/6099,17907,14.25,1952,601,6.92,4.93,6.06
398113,소공원-형제봉-비로봉-광교산시루봉-수리봉암봉_20190101_055731,소공원-형제봉-비로봉-광교산시루봉-수리봉암봉_20190101_055731,경기도,용인시 수지구 성복동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/4072,14255,8.3,654,123,3.12,7.72,3.41
398112,백암봉-중봉-덕유산향적봉-실크로드상단-실크로드상단-미뉴에트-설천봉_20190101_031835,백암봉-중봉-덕유산향적봉-실크로드상단-실크로드상단-미뉴에트-설천봉_20190101_031835,전라북도,무주군 안성면,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/3058,10556,8.49,1639,595,4.84,3.8,0.3
398111,지리산천왕봉_20190101_025505,지리산천왕봉_20190101_025505,경상남도,산청군 시천면,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/5082,10755,16.83,1944,594,4.52,1.26,4.98
398110,울산간절곶해맞이_20190101_062558,울산간절곶해맞이_20190101_062558,울산광역시,울주군 서생면,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/1045,3555,0.4,56,38,0.1,3.4,0
398109,경기도부천시원미구_20190101_070654,원미산 해돋이,경기도,부천시 부천동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/2052,3103,5.39,168,22,0.7,1.7,0.7
398107,관기봉_20190101_062429,관기봉_20190101_062429,대구광역시,달성군 유가읍,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/2051,7019,9.43,1017,484,2,2.1,2.9
398100,충청남도공주시_20181230_091329,충청남도공주시_20181230_091329,충청남도,공주시 계룡면,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/12,7926,10.75,801,140,2.5,2.33,3.1
398098,기마봉_20190101_072113,기마봉_20190101_072113,강원도,강릉시 옥계면,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/1043,3270,4.4,388,259,0.6,2.07,0.6
398097,미타봉동봉-염불봉_20190101_053241,미타봉동봉-염불봉_20190101_053241,대구광역시,동구 공산동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/5081,9408,10.1,1197,453,3.3,2.7,3.4
398096,망일봉-함지산_20190101_061851,망일봉-함지산_20190101_061851,대구광역시,북구 구암동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/1042,5859,8.16,315,84,1.9,2.1,1.86
398095,전라북도완주군_봉실산_20190101_065131,봉실봉,전라북도,완주군 봉동읍,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/2049,3499,8.89,345,101,0.8,1.8,0.9
398093,해공신익희선생동상-남한산성_20190101_115329,해공신익희선생동상-남한산성_20190101_115329,경기도,광주시 남한산성면,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/6097,20,0,344,339,0,0.02,0
398091,갈립산빡빡산_20190101_064637,갈립산빡빡산_20190101_064637,경기도,의정부시 자금동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/2048,5010,7.8,382,13,1.4,2.3,1.3
398090,아차산_새해_20190101_070909,아차산_새해_20190101_070909,서울특별시,광진구 구의2동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/3056,3463,6.1,198,25,0.8,1.76,0.8
398089,경기도용인시수지구_20181231_235826,경기도용인시수지구_20181231_235826,경기도,용인시 수지구 풍덕천1동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/11,288,1.33,112,89,0,0.6,0
398087,함백산_20190101_055929,함백산_20190101_055929,강원도,정선군 고한읍,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/1041,2257,14.62,1611,1367,0.8,0.76,0.7
398086,태백산장군봉-태백산_20190101_050005,태백산장군봉-태백산_20190101_050005,강원도,태백시 문곡소도동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/4070,8538,10.48,1600,883,3.3,1.3,3.9
398085,전라남도목포시_20190101_071529,전라남도목포시_20190101_071529,전라남도,목포시 목원동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/1040,2845,4.88,194,40,0.4,2.2,0.7
398084,월라산_20190101_070437,월라산_20190101_070437,충청남도,아산시 송악면,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/3055,2241,9.91,277,76,0.8,0.54,0.9
398083,와룡_20190101_060052,와룡_20190101_060052,서울특별시,종로구 혜화동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/2047,4967,3.97,222,88,0.7,3.47,0.8
